sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "breakout_close", "position_mode": "concurrent", "swing_bars": 3, "sl_mode": "swing_previous", "atr_dyn_period": 200, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.3, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": true, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 50, "use_continuation_score": true}
# Fecha: 2026-02-06T12:37:54.914445
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
42;2025-11-20 09:00;2025-11-20 11:45;91454,00344999999;92072,87005;0,67;DOWN;91014,3;Close Breakout;91014,3;0;WIN;2;36,0;20,95;Si;Si;34;49;4;63.0
43;2025-11-23 07:10;2025-11-24 04:25;85928,1;86431,09765;0,58;UP;86573,3;Close Breakout;86573,3;0;LOSS;-1;35,0;14,74;Si;Si;256;36;2,9;58.0
44;2025-11-23 23:15;2025-11-24 00:25;87143,68274999999;88082,9;1,07;DOWN;86730,2;Close Breakout;86730,2;0;LOSS;-1;34,0;26,11;Si;Si;15;108;8,9;55.0
45;2025-11-24 04:05;2025-11-24 11:40;86651,43334999999;87280;0,72;DOWN;86521,8;Close Breakout;86521,8;0;LOSS;-1;33,0;33,68;Si;Si;92;37;3;58.0
46;2025-11-24 11:00;2025-11-26 12:40;85613,4;86675,1;1,23;UP;87050,1;Close Breakout;87050,1;0;WIN;2;35,0;9,13;Si;Si;597;64;5,2;55.0
47;2025-11-25 02:45;2025-11-25 04:25;87582,3;88358,2151;0,88;DOWN;87578,6;Close Breakout;87578,6;0;WIN;2;37,0;61,3;Si;Si;21;34;2,8;50.0
48;2025-11-26 04:05;2025-11-26 12:10;87263,32515000002;88102,88274999999;0,96;DOWN;87257,5;Close Breakout;87257,5;0;LOSS;-1;36,0;39,9;Si;Si;98;259;21,5;56.0
49;2025-11-26 16:25;2025-11-26 21:30;89582,0237;90051,84629999999;0,52;UP;90222,5;Close Breakout;90222,5;0;WIN;2;38,0;12,43;Si;Si;62;25;2;60.0
50;2025-11-26 20:55;2025-11-27 08:15;90010,1379;90706,4;0,77;UP;91093;Close Breakout;91093;0;LOSS;-1;37,0;12,31;Si;Si;137;54;4,4;57.0
51;2025-11-27 07:50;2025-11-27 11:35;91055,7;91639,85335;0,64;DOWN;90932,6;Close Breakout;90932,6;0;LOSS;-1;36,0;64,22;Si;Si;46;29;2,3;60.0
52;2025-12-02 05:40;2025-12-02 05:50;86242;86984,55585;0,86;UP;87027,1;Close Breakout;87027,1;0;WIN;2;38,0;39,99;Si;Si;3;319;26,5;58.0
53;2025-12-02 08:50;2025-12-02 09:45;87030,3;87557,03025;0,6;UP;87661,5;Close Breakout;87661,5;0;WIN;2;40,0;15,73;Si;Si;12;30;2,4;59.0
54;2025-12-05 08:20;2025-12-05 08:40;91019,2899;91400,55265;0,42;DOWN;90921,6;Close Breakout;90921,6;0;WIN;2;42,0;92,31;Si;Si;5;24;1,9;61.0
55;2025-12-07 08:20;2025-12-07 10:55;89067,04885;89739,3;0,75;DOWN;88870,1;Close Breakout;88870,1;0;LOSS;-1;41,0;42,3;Si;Si;32;338;28,1;56.0
56;2025-12-09 15:15;2025-12-10 15:10;93574,4622;94065,8778;0,52;DOWN;93281,4;Close Breakout;93281,4;0;LOSS;-1;40,0;36,17;Si;Si;288;20;1,6;60.0
57;2025-12-11 13:40;2025-12-12 10:55;89440;90638;1,33;UP;91121,5;Close Breakout;91121,5;0;LOSS;-1;39,0;5,33;Si;Si;256;64;5,2;52.0
58;2025-12-13 07:25;2025-12-13 09:25;90301,38780000001;90569,2;0,3;DOWN;90285,9;Close Breakout;90285,9;0;WIN;2;41,0;173,7;Si;Si;25;40;3,2;61.0
59;2025-12-14 01:20;2025-12-14 06:00;90032,49584999999;90301,14395000001;0,3;DOWN;90082,3;Close Breakout;90082,3;0;WIN;2;43,0;141,09;Si;Si;57;149;12,3;61.0
60;2025-12-14 18:10;2025-12-14 19:30;88101,1;88713,17050000001;0,69;DOWN;88011;Close Breakout;88011;0;LOSS;-1;42,0;49,4;Si;Si;17;34;2,8;57.0
61;2025-12-15 09:45;2025-12-15 10:20;89016,4;89845;0,93;DOWN;88669,7;Close Breakout;88669,7;0;WIN;2;44,0;28,6;Si;Si;8;37;3;56.0
62;2025-12-16 01:05;2025-12-17 09:50;85366,5;86166,7;0,93;UP;86232;Close Breakout;86232;0;WIN;2;46,0;11,62;Si;Si;394;38;3,1;55.0
63;2025-12-16 05:35;2025-12-16 08:30;86080,09994999999;86514,20985000001;0,5;UP;86714,1;Close Breakout;86714,1;0;WIN;2;48,0;27,18;Si;Si;36;23;1,8;64.0
64;2025-12-18 22:00;2025-12-19 02:10;84944,40709999998;85858,6;1,07;UP;86160,4;Close Breakout;86160,4;0;WIN;2;50,0;10,76;Si;Si;51;70;5,8;53.0
65;2025-12-19 12:25;2025-12-21 04:35;87725,77285;88816;1,24;DOWN;87579,1;Close Breakout;87579,1;0;LOSS;-1;49,0;21,69;Si;Si;483;67;5,5;55.0
66;2025-12-19 14:15;2025-12-21 04:30;86828,22665;87449,3938;0,71;UP;87521,1;Close Breakout;87521,1;0;WIN;2;51,0;16,45;Si;Si;460;21;1,7;61.0
67;2025-12-20 20:30;2025-12-21 03:30;88228,74495;88381,72260000001;0,17;DOWN;88154,6;Close Breakout;88154,6;0;LOSS;-1;50,0;135,18;Si;Si;85;26;2,1;62.0
68;2025-12-22 03:15;2025-12-22 07:30;88630,5665;89213,7;0,66;UP;89449,9;Close Breakout;89449,9;0;WIN;2;52,0;18,32;Si;Si;52;55;4,5;57.0
69;2025-12-22 14:00;2025-12-23 01:15;89063,8267;89538,715;0,53;DOWN;88734;Close Breakout;88734;0;WIN;2;54,0;38,11;Si;Si;136;25;2;60.0
70;2025-12-22 23:55;2025-12-23 09:55;87928,50279999999;88860,48735000001;1,05;DOWN;87881,4;Close Breakout;87881,4;0;WIN;2;56,0;53,86;Si;Si;121;54;4,4;53.0
71;2025-12-25 10:25;2025-12-25 15:25;87161,27715000001;87938,985;0,89;UP;88033,8;Close Breakout;88033,8;0;LOSS;-1;55,0;26,63;Si;Si;61;610;50,8;55.0
72;2025-12-25 15:20;2025-12-25 15:25;88011,1;88239,24949999999;0,26;DOWN;87990,1;Close Breakout;87990,1;0;WIN;2;57,0;190,26;Si;Si;2;25;2;53.0
73;2025-12-25 17:40;2025-12-25 18:30;87760,94755;87970,39154999999;0,24;DOWN;87669,5;Close Breakout;87669,5;0;WIN;2;59,0;101,61;Si;Si;11;25;2;62.0
74;2025-12-26 02:45;2025-12-26 10:10;88745,2009;89387,7;0,72;DOWN;88614;Close Breakout;88614;0;WIN;2;61,0;31,06;Si;Si;90;37;3;57.0
75;2025-12-26 08:35;2025-12-26 09:35;88440,20080000002;88820,4;0,43;UP;88919,2;Close Breakout;88919,2;0;LOSS;-1;60,0;26,75;Si;Si;13;33;2,7;61.0
76;2025-12-27 16:50;2025-12-27 17:10;87322,3;87618,6;0,34;UP;87622;Close Breakout;87622;0;WIN;2;62,0;77,17;Si;Si;5;133;11;53.0
77;2025-12-28 12:55;2025-12-28 17:50;87749,6;87983,63625;0,27;DOWN;87714,9;Close Breakout;87714,9;0;LOSS;-1;61,0;149,53;Si;Si;60;53;4,3;61.0
78;2025-12-29 04:25;2025-12-29 04:40;89380;89750;0,41;DOWN;89276,6;Close Breakout;89276,6;0;WIN;2;63,0;57,47;Si;Si;4;28;2,2;61.0
79;2025-12-30 03:00;2025-12-30 09:20;87263,11945;87548,62605;0,33;UP;87664,8;Close Breakout;87664,8;0;WIN;2;65,0;30,05;Si;Si;77;22;1,8;61.0
80;2026-01-02 09:05;2026-01-02 09:45;89290;89710,7;0,47;DOWN;89258,9;Close Breakout;89258,9;0;LOSS;-1;64,0;65,01;Si;Si;9;36;2,9;55.0
81;2026-01-03 02:10;2026-01-03 09:20;89735,8639;90305,8334;0,63;DOWN;89719,1;Close Breakout;89719,1;0;LOSS;-1;63,0;79,38;Si;Si;87;37;3;57.0
82;2026-01-03 07:45;2026-01-03 16:30;89574,87839999999;89804,58780000002;0,26;UP;89927;Close Breakout;89927;0;WIN;2;65,0;25,59;Si;Si;106;25;2;70.0
83;2026-01-03 15:35;2026-01-03 16:30;89958,5068;90188,48955;0,26;UP;90216;Close Breakout;90216;0;WIN;2;67,0;33,99;Si;Si;12;49;4;67.0
84;2026-01-03 19:00;2026-01-03 19:05;90464,0513;90650,9887;0,21;UP;90900,1;Close Breakout;90900,1;0;WIN;2;69,0;21,43;Si;Si;2;23;1,8;62.0
85;2026-01-04 19:00;2026-01-04 20:05;91110,8169;91632,1;0,57;UP;91782;Close Breakout;91782;0;WIN;2;71,0;11,0;Si;Si;14;235;19,5;58.0
86;2026-01-05 09:40;2026-01-05 15:25;92295,1;93166,6938;0,94;UP;93239,5;Close Breakout;93239,5;0;WIN;2;73,0;6,28;Si;Si;70;96;7,9;54.0
87;2026-01-05 16:10;2026-01-06 11:45;93975;94681;0,75;DOWN;93934,4;Close Breakout;93934,4;0;WIN;2;75,0;41,75;Si;Si;236;28;2,2;51.0
88;2026-01-06 09:10;2026-01-06 09:45;93335,14425000001;93988,85125;0,7;UP;94073,3;Close Breakout;94073,3;0;LOSS;-1;74,0;8,16;Si;Si;8;134;11,1;57.0
89;2026-01-07 04:05;2026-01-07 04:40;92577,7553;92995,90330000002;0,45;DOWN;92492,7;Close Breakout;92492,7;0;WIN;2;76,0;73,65;Si;Si;8;25;2;64.0
90;2026-01-08 01:00;2026-01-08 02:00;90774,5646;91546,26245;0,85;DOWN;90698,8;Close Breakout;90698,8;0;WIN;2;78,0;68,61;Si;Si;13;65;5,3;55.0
