zone_num;start_date;end_date;min_price;max_price;price_range_pct;breakout_direction;trade_result;trade_pnl_r;r_multiple;trading_score;candles_in_zone;duration_hours
144;2026-01-10 20:45;2026-01-10 22:45;90549,10;90652,80;0,11;UP;LOSS;-1,0;1,79;41;25;2,0
145;2026-01-10 22:50;2026-01-10 23:45;90634,20;90717,30;0,09;UP;LOSS;-1,0;3,23;46;12;0,9
146;2026-01-11 02:35;2026-01-11 03:55;90562,60;90705,50;0,16;UP;WIN;2,0;3,84;54;17;1,3
147;2026-01-11 04:30;2026-01-11 07:15;90625,40;90749,80;0,14;UP;WIN;2,0;4,06;55;34;2,8
148;2026-01-11 07:40;2026-01-11 11:25;90806,30;90986,10;0,20;UP;LOSS;-1,0;1,49;53;46;3,8
149;2026-01-11 12:20;2026-01-11 14:20;90867,70;91031,10;0,18;DOWN;WIN;2,0;4,23;71;25;2,0
150;2026-01-12 00:25;2026-01-12 01:20;91995,30;92223,20;0,25;DOWN;WIN;2,0;8,46;83;12;0,9
151;2026-01-12 18:15;2026-01-12 19:20;91090,90;91283,50;0,21;UP;LOSS;-1,0;5,01;39;14;1,1
152;2026-01-12 20:50;2026-01-12 22:55;91095,00;91336,50;0,27;UP;WIN;2,0;5,48;75;26;2,1
153;2026-01-12 23:10;2026-01-13 00:15;91299,80;91689,80;0,43;UP;WIN;2,0;2,49;79;14;1,1
154;2026-01-13 02:10;2026-01-13 03:35;91878,00;92074,60;0,21;UP;WIN;2,0;8,35;60;18;1,4
155;2026-01-13 05:00;2026-01-13 06:35;92100,00;92312,80;0,23;DOWN;LOSS;-1,0;1,80;42;20;1,6
156;2026-01-13 07:00;2026-01-13 09:20;91862,20;92121,30;0,28;UP;WIN;2,0;17,49;92;29;2,3
